time	V(in)	V(out)
2.946137250160434e-003	5.386275e-001	4.999951e+000
3.000000003000004e-003	0.000000e+000	5.000584e+000
3.001100635318557e-003	1.100632e-002	5.000233e+000
3.003301899955662e-003	3.301897e-002	5.000049e+000
3.069339839068831e-003	6.933984e-001	5.000049e+000
3.139780307456211e-003	1.397803e+000	4.985178e+000
3.168463496765039e-003	1.684635e+000	4.868845e+000
3.184386739174090e-003	1.843867e+000	4.591756e+000
3.199590000644679e-003	1.995900e+000	4.052691e+000
3.217188500321387e-003	2.171885e+000	3.132672e+000
3.246925984091234e-003	2.469260e+000	1.266782e+000
3.255126799308809e-003	2.551268e+000	8.188691e-001
3.259482116814485e-003	2.594821e+000	6.851489e-001
3.262785252579275e-003	2.627852e+000	6.370659e-001
3.266727585633263e-003	2.667276e+000	5.942452e-001
3.272956928328516e-003	2.729569e+000	5.417094e-001
3.281484974346341e-003	2.814850e+000	4.860173e-001
3.290360731784487e-003	2.903607e+000	4.422231e-001
3.306263331597582e-003	3.062633e+000	3.837674e-001
3.323246536685978e-003	3.232465e+000	3.353170e-001
3.332316529069272e-003	3.323165e+000	3.144563e-001
3.346185233723683e-003	3.461852e+000	2.883826e-001
3.351312981323619e-003	3.513130e+000	2.800148e-001
3.356440728923555e-003	3.564407e+000	2.721157e-001
3.361568476523491e-003	3.615685e+000	2.646853e-001
3.366696224123427e-003	3.666962e+000	2.577236e-001
3.371823971723363e-003	3.718240e+000	2.512307e-001
3.376951719323299e-003	3.769517e+000	2.452065e-001
3.382079466923235e-003	3.820795e+000	2.396510e-001
3.406893751199159e-003	4.068937e+000	2.158778e-001
3.450371434448158e-003	4.503714e+000	1.836644e-001
3.500000003100006e-003	5.000000e+000	1.545543e-001
3.500000050028557e-003	5.000000e+000	1.545536e-001
3.500000096957108e-003	4.999999e+000	1.545530e-001
3.500000143885659e-003	4.999999e+000	1.545523e-001
3.500000190814210e-003	4.999998e+000	1.545517e-001
3.500000237742760e-003	4.999998e+000	1.545511e-001
3.500000284671311e-003	4.999997e+000	1.545505e-001
3.500000331599862e-003	4.999997e+000	1.545499e-001
3.500001314639432e-003	4.999987e+000	1.545397e-001
3.500002625358858e-003	4.999974e+000	1.545310e-001
3.500005246797711e-003	4.999948e+000	1.545219e-001
3.500010489675416e-003	4.999895e+000	1.545168e-001
3.500020975430827e-003	4.999790e+000	1.545187e-001
3.517222780385652e-003	4.827772e+000	1.628014e-001
3.534424585340478e-003	4.655754e+000	1.725602e-001
3.551626390295304e-003	4.483736e+000	1.837949e-001
3.568828195250130e-003	4.311718e+000	1.965056e-001
3.586030000204955e-003	4.139700e+000	2.106922e-001
3.603231805159781e-003	3.967682e+000	2.263549e-001
